Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Journal Article	392d9db4f2448fba7da4448180796dbf	Le Cerf, F. (1914). Voyage du Comte de Rohan-Chabot en Afrique équatoriale. Description d’un genre nouveau et d’une espèce nouvelle d’Aegeriidae (Lepidopt. Hétérocère). Bulletin Du Museum National d`Histoire Naturelle (Paris), 20, 336–337.	Le Cerf, F.		Voyage du Comte de Rohan-Chabot en Afrique équatoriale. Description d’un genre nouveau et d’une espèce nouvelle d’Aegeriidae (Lepidopt. Hétérocère)	Bulletin Du Museum National d`Histoire Naturelle (Paris), 20	01/01/1914	336–337			fr
Journal Article	2b66d5ec0a702ece62f32f2c15742e79	Le Cerf, F. (1915). Description sommaire d’une espèce algérienne d’Aegeriidae [Lép.]. – Bulletin de la Société entomologique de France, 54-55.	Le Cerf, F.		Description sommaire d’une espèce algérienne d’Aegeriidae [Lép.]	Bulletin De La Société Entomologique De France	01/01/1915	54–55			fr
Book Chapter	4bae8b82bf1777d3e3e1ac31fc2aed6e	Le Cerf, F. (1916). Explication des planches. Aegeriidae de Barbarie. In Oberthür, C.: Études De Lépidoptérologie Comparée, 11, 11–17, pls 316–372.	Le Cerf, F.	Oberthür, C.	Explication des planches. Aegeriidae de Barbarie	Études De Lépidoptérologie Comparée, 11	01/01/1916	11–17			fr
Book Chapter	b87b5594458483a1bcc561c1b958dd70	Le Cerf, F. (1916). Explication des planches. In Oberthür, C.: Études De Lépidoptérologie Comparée, 12, 7–14, pls 373–381.	Le Cerf, F.	Oberthür, C.	Explication des planches	Études De Lépidoptérologie Comparée, 12	01/01/1916	7–14			fr
Book Chapter	5f98dd5e128cedd51ee3c63b38ef47d3	Le Cerf, F. (1917). Contributions à l’étude des Aegeriidae. Description et Iconographie d’Espèces et de Formes nouvelles ou peu connues. In Oberthür, C.: Études De Lépidoptérologie Comparée, 14, 137–388, pl. 475–481.	Le Cerf, F.	Oberthür, C.	Contributions à l’étude des Aegeriidae. Description et Iconographie d’Espèces et de Formes nouvelles ou peu connues	Études De Lépidoptérologie Comparée, 14	01/01/1917	137–388			fr
Book Chapter	fe8e9042b4d89e9944f33e0744947f90	Le Cerf, F. (1920). Contributions à l’étude des Aegeriidae. II. Révision des Aegeriidae de Barbarie. In Oberthür, C.: Études De Lépidoptérologie Comparée, 17, 181–577, 581–583.	Le Cerf, F.	Oberthür, C.	Contributions à l’étude des Aegeriidae. II. Révision des Aegeriidae de Barbarie	Études De Lépidoptérologie Comparée, 17	01/01/1920	181–577, 581–583			fr
Book Chapter	cfbdb763cf453074835340c6b776ed89	Le Cerf, F. (1922). Les Lépidoptères du Maroc. In Oberthür, C.: Études De Lépidoptérologie Comparée, 19, 13–403. (130–136).	Le Cerf, F.	Oberthür, C.	Les Lépidoptères du Maroc	Études De Lépidoptérologie Comparée, 19	01/01/1922	130-136			fr
Book Chapter	7cde10364963f7b143d9a6ce6e645007	Le Cerf, F. (1922). Troisième Contribution à l’étude des Aegeriidae. Descriptions d’Espèces et Variétés nouvelles. In Oberthür, C.: Études De Lépidoptérologie Comparée, 19, 17–39, 190–191, pls 539–540.	Le Cerf, F.	Oberthür, C.	Troisième Contribution à l’étude des Aegeriidae. Descriptions d’Espèces et Variétés nouvelles	Études De Lépidoptérologie Comparée, 19	01/01/1922	17–39, 190–191			fr
Journal Article	35562453fab290880f6d6ff47b2b0829	Le Cerf, F. (1925). Aegeriidae nouveaux du Maroc [Lep.]. Bulletin De La Société Entomologique De France, 210–212.	Le Cerf, F.		Aegeriidae nouveaux du Maroc [Lep.]	Bulletin De La Société Entomologique De France	01/01/1925	210–212			fr
Journal Article	b71750329034c1017cd533fdaefffc65	Le Cerf, F. (1927). Aegeriidae nouvelles du Tonkin. Encyclopedie Entomologique, Séries B. III. (Lepidoptera), 2, 147–149.	Le Cerf, F.		Aegeriidae nouvelles du Tonkin	Encyclopedie Entomologique, Séries B, III. (Lepidoptera), 2	01/01/1927	147–149			fr
Journal Article	e31c09de395d56bb8aef6111d80f9a5b	Le Cerf, F. (1934). Lépidoptères nouveaux du Maroc. Bulletin De La Societe Entomologique De France, 39, 11–13.	Le Cerf, F.		Lépidoptères nouveaux du Maroc	Bulletin De La Societe Entomologique De France, 39	01/01/1934	11–13			fr
Journal Article	3e0e56b9c80827af09ab85e0318be087	Le Cerf, F. (1937). Aegeriiade [sic] nouvelles d’Asie Mineure. Bulletin De La Société Entomologique De France, 42, 172–176.	Le Cerf, F.		Aegeriiade [sic] nouvelles d’Asie Mineure	Bulletin De La Société Entomologique De France, 42	01/01/1937	172–176			fr
Journal Article	a24c5c68bc151180fa523b23c8a55777	Le Cerf, F. (1937). Aegeriidae nouvelles ou peu connues d’Asie antérieure. Zeitschrift Des Österreichischen Entomologen-Vereines, 22, 81–89, 96–99, 103–109.	Le Cerf, F.		Aegeriidae nouvelles ou peu connues d’Asie antérieure	Zeitschrift Des Österreichischen Entomologen-Vereines, 22	01/01/1937	81–89, 96–99, 103–109			de
Journal Article	489f2b4cbd28a2bd42b229568ce03b50	Le Cerf, F. (1937). Description d’une Aegeriidae nouvelle d’Afrique Occidentale. Annali Del Museo Civico Di Storia Naturale Giacomo Doria, 59, 409–410.	Le Cerf, F.		Description d’une Aegeriidae nouvelle d’Afrique Occidentale	Annali Del Museo Civico Di Storia Naturale Giacomo Doria, 59	01/01/1937	409–410			it
Journal Article	37780d3f2b4160592b111597f4abae5f	Le Cerf, F. (1937). Pyropteron balkis sp. n. Le Cerf. In Warnecke, G.: Ein zweiter Beitrag zur Kenntnis der Makrolepidopteren-Fauna Südwest-Arabiens. Mitteilungen Der Münchner Entomologischen Gesellschaft, 27, 39–48. (41–43).	Le Cerf, F.	Warnecke, G.	Pyropteron balkis sp. n. Le Cerf	Ein zweiter Beitrag zur Kenntnis der Makrolepidopteren-Fauna Südwest-Arabiens. Mitteilungen Der Münchner Entomologischen Gesellschaft, 27	01/01/1937	41-43			de
Journal Article	219d35bd334e5e006e76ab9580cac085	Le Cerf, F. (1938). Aegerides nouvelles d’Iran. Notulae Entomologicae, 18, 92–104.	Le Cerf, F.		Aegerides nouvelles d’Iran	Notulae Entomologicae, 18	01/01/1938	92–104			fr
Journal Article	e5a78368705278b9723a178c9df3ce65	Le Cerf, F. (1957). Nouveaux genres et espèces d’Aegeriidae de Madagascar [Lep.]. Bulletin De La Société Entomologique De France, 62, 97–100.	Le Cerf, F.		Nouveaux genres et espèces d’Aegeriidae de Madagascar [Lep]	Bulletin De La Société Entomologique De France, 62	01/01/1957	97–100			fr
Journal Article	1fcb66afda3df7106b5b0af2f285da76	Lederer, J. (1853). Versuch, die europäischen Lepidopteren (einschliessig der ihrem Habitus nach noch zur europäischen Fauna gehörigen Arten Labradors, der asiatischen Türkei und des asiatischen Russlands) in möglichst natürliche Reihenfolge zu stellen, nebst Bemerkungen zu einigen Familien und Arten. II. Abtheilung: Die Heteroceren. Verhandlungen Des Zoologisch-Botanischen Vereins in Wien, Abhandlungen, 2(1852), 65–126. (68–69, 81–91).	Lederer, J.		Versuch, die europäischen Lepidopteren (einschliessig der ihrem Habitus nach noch zur europäischen Fauna gehörigen Arten Labradors, der asiatischen Türkei und des asiatischen Russlands) in möglichst natürliche Reihenfolge zu stellen, nebst Bemerkungen zu einigen Familien und Arten. II. Abtheilung: Die Heteroceren	Verhandlungen Des Zoologisch-Botanischen Vereins in Wien, Abhandlungen, 2(1852)	01/01/1853	68–69, 81–91			de
Journal Article	351401070b8fce5e51a8ad37af89ef5c	Lederer, J. (1855). Beitrag zur Schmetterlings-Fauna von Cypern, Beirut und einem Theile Klein-Asiens. Verhandlungen Des Zoologisch-Botanischen Vereins in Wien, Abhandlungen, 5, 177–254. (182–183, 194–195).	Lederer, J.		Beitrag zur Schmetterlings-Fauna von Cypern, Beirut und einem Theile Klein-Asiens	Verhandlungen Des Zoologisch-Botanischen Vereins in Wien, Abhandlungen, 5	01/01/1855	182–183, 194–195			de
Journal Article	73541e658018e2353e8efe1438dbaf3f	Lederer, J. (1858). Noch einige syrische Schmetterlinge. Wiener Entomologische Monatsschrift, 2, 135–152. (141–142).	Lederer, J.		Noch einige syrische Schmetterlinge	Wiener Entomologische Monatsschrift, 2	01/01/1858	141-142			de
Journal Article	b8281dd393b26f2f82e0a6f93c6796fb	Lederer, J. (1861). Ueber Alb. Kindermanns letzte lepidopterologische Ausbeute. Wiener Entomologische Monatsschrift, 5, 144–155. (150–151).	Lederer, J.		Ueber Alb. Kindermanns letzte lepidopterologische Ausbeute	Wiener Entomologische Monatsschrift, 5	01/01/1861	150-151			de
Journal Article	7c0c4b92da72b20c6ea54157fe676b5a	Lederer, J. (1863). Verzeichniss der von Herrn Johann und Frau Ludmilla Haberhauer 1861 und 1862 bei Varna in Bulgarien und Sliwno in Rumelien gesammelten Lepidopteren. Wiener Entomologische Monatsschrift, 7, 17–27, 40–47.	Lederer, J.		Verzeichniss der von Herrn Johann und Frau Ludmilla Haberhauer 1861 und 1862 bei Varna in Bulgarien und Sliwno in Rumelien gesammelten Lepidopteren	Wiener Entomologische Monatsschrift, 7	01/01/1863	17–27, 40–47			de
Journal Article	ebe7c14152ddf751ef4154eab9deb12b	Lederer, J. (1870). Contributions à la faune des Lépidoptères de la Transcaucasie. Annales De La Societe Entomologique De Belgique, 13, 17–54. (27–28, 45).	Lederer, J.		Contributions à la faune des Lépidoptères de la Transcaucasie	Annales De La Societe Entomologique De Belgique, 13	01/01/1870	27–28, 45			fr
Journal Article	ece6bc3a2c972dee6f508ca7e3eaf157	Lederer, J. (1870). Nachtrag zum Verzeichnisse der von Herrn Jos. Haberhauer bei Astrabad in Persien gesammelten Schmetterlinge. Horae Societatis Entomologicae Rossicae, 8(1871), 3–28, pls 1–2. (13–14).	Lederer, J.		Nachtrag zum Verzeichnisse der von Herrn Jos. Haberhauer bei Astrabad in Persien gesammelten Schmetterlinge	Horae Societatis Entomologicae Rossicae, 8(1871)	01/01/1870	13–14			de
Book Chapter	116a88c0cd58f310ae72f5c57b5d059a	Leech, J. H. (1889). On a collection of Lepidoptera from Kiukiang. – The Transactions of the Entomological Society of London (4th ser.), 99-148, pl. vii. (121).	Leech, J.H.		On a collection of Lepidoptera from Kiukiang	The Transactions of the Entomological Society of London (4th ser.)	01/01/1889	121			en
Conference Paper	966b43adb267e0e1f38897c6ba6d9acd	Leech, J. H. (1889). On the Lepidoptera of Japan and Corea. – Part II: Heterocera, Sect. I. – Proceedings of the Zoological Society of London (2) (1888), 580-655. (591-592, pl. xxx).	Leech, J.H.		On the Lepidoptera of Japan and Corea. – Part II: Heterocera, Sect. I	Proceedings of the Zoological Society of London	01/01/1889	580–655			en
Journal Article	1820ba8bf85daed032257fe8d70dcea3	Lempke, B. J. (1961). Catalogus der Nederlandse Macrolepidoptera (Achtste Supplement). Tijdschrift Voor Entomologie, 104, 111–186, 3 pls.	Lempke, B.J.		Catalogus der Nederlandse Macrolepidoptera (Achtste Supplement)	Tijdschrift Voor Entomologie, 104	01/01/1961	111–186,			nl
Journal Article	08d13ba5e9acac32a733ffb14b627790	Lewin, J. W. (1797). Observations respecting some rare British Insects. – Transactions of the Linnean Society 3, 1-4, pl. i.	Lewin, J.W.		Observations respecting some rare British Insects	Transactions of the Linnean Society, 3	01/01/1797	1–4			en
Miscellaneous	c095c8499d5e67d2d0daafedfc680f82	Liang, & Hsu. (2022). see Liang, J.-Y., Zhang, C.-K., Chen, M.-X., Liu, W., Zheng, S.-Z. & Hsu, Y.-F. (2022).	Liang, J.-Y., C.-K. Zhang, M.-X. Chen, W. Liu, S.-Z. Zheng, and Y.-F. Hsu			unknown	01/01/2022				
Miscellaneous	6c3e3c86906cc2a4e6b6ff9faddbb92f	Liang, & Hsu. (2023). see Liang, J.-Y., Ruan, J.-F., Chen, M.-X., Zhang, C.-K., Lin, N.-B. & Hsu, Y.-F. (2023).	Liang, J.-Y., J.-F. Ruan, M.-X. Chen, C.-K. Zhang, N.-B. Lin, and Y.-F. Hsu			unknown	01/01/2023				
Journal Article	2114012f593368db34a7c69f810f2838	Liang, J.-Y. & Hsu, Y.-F. (2015). A review of clearwing moths in the tribe Synanthedonini, with descriptions of six new species from Taiwan (Lepidoptera: Sesiidae). Zootaxa, 4044, 535–555.	Liang, J.Y. and Y.F. Hsu		A review of clearwing moths in the tribe Synanthedonini, with descriptions of six new species from Taiwan (Lepidoptera: Sesiidae)	Zootaxa, 4044	01/01/2015	535–555			en
Journal Article	ba6b1e0ed15a9704bd2e0663e45f6307	Liang, J.-Y. & Hsu, Y.-F. (2017). Two new species of clearwing moths (Lepidoptera: Sesiidae) from Taiwan. Zootaxa, 4299, 415–422.	Liang, J.Y. and Y.F. Hsu		Two new species of clearwing moths (Lepidoptera: Sesiidae) from Taiwan	Zootaxa, 4299	01/01/2017	415–422			en
Journal Article	84c1b935587e38e814aa16e876ded649	Liang, J.-Y. & Hsu, Y.-F. (2019). Two new species of the tribe Synanthedonini (Lepidoptera, Sesiidae), with new hostplant associations from Taiwan. ZooKeys, 861, 81–90.	Liang, J.Y. and Y.F. Hsu		Two new species of the tribe Synanthedonini (Lepidoptera, Sesiidae), with new hostplant associations from Taiwan	ZooKeys, 861	01/01/2019	81–90			en
Journal Article	ce212551c41cd48b5acfa46d5c5929a4	Lieu, K. O. V. (1935). Study of a New Species of Chinese Mulberry-Borer Paradoxecia pieli n. sp. (Lepidoptera, Aegeriidae). – Notes d’Entomologie Chinoise 2(10), 185-209, pls i-v.	Lieu, K.O.		Study of a New Species of Chinese Mulberry-Borer Paradoxecia pieli n. sp. (Lepidoptera, Aegeriidae)	Notes d’Entomologie Chinoise, 2(10)	01/01/1935	185–209			en
Journal Article	ae69ac4183f45ba2fb0103d5ce3a8ec3	Lingenhöle, A., & Bartsch, D. (2011). Bembecia garrevoeti sp. nov. aus dem östlichen Hissargebirge in Tadschikistan (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 121, 163–167.	LingenhöLe A. and D. Bartsch		Bembecia garrevoeti sp. nov. aus dem östlichen Hissargebirge in Tadschikistan (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 121	01/01/2011	163–167			de
Miscellaneous	5f3023b04791f1791e3a2f7cadbd6644	Linnaeus, C. (1758). Systema naturae. Per regna tria naturae secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis 1 (ed. 10), 824 pp. – Stockholm. (493).	Linnaeus, C.			Systema naturae. Per regna tria naturae secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis 1 (ed. 10)	01/01/1758	493		Stockholm	la
Journal Article	e782eef8091dd2568b49ff161023a3f1	Linnaeus, C. (1760). Fauna Suecica sistens Animalia Sueciae Regni: Mammalia, Aves, Amphibia, Pisces, Insecta, Vermes. Distributa per Classes & Ordines, Genera & Species, cum Differentiis Specierum, Synonymis Auctorum, Nominibus Incolarum, Locis Natalium, Descriptionibus Insectorum 1 (ed. 2), 46+578 pp, 2 pls. – Stockholm. (289-290).	Linnaeus, C.			Fauna Suecica sistens Animalia Sueciae Regni: Mammalia, Aves, Amphibia, Pisces, Insecta, Vermes. Distributa per Classes & Ordines, Genera & Species, cum Differentiis Specierum, Synonymis Auctorum, Nominibus Incolarum, Locis Natalium, Descriptionibus Insectorum 1 (ed. 2)	01/01/1760	289-290			la
Journal Article	c27fcb722c47d7ef721a23330bf2d4ed	Lipthay, B. (1961). Eine neue Chamaesphecia-Art (Lepidoptera: Aegeriidae). Acta Zoologica Academiae Scientiarum Hungaricae, 7, 213–218, 1 pl.	Lipthay, B.		Eine neue Chamaesphecia-Art (Lepidoptera: Aegeriidae)	Acta Zoologica Academiae Scientiarum Hungaricae, 7	01/01/1961	213–218			la
Journal Article	8667f4c96ccf37341c2d705ddb77cfff	Löfqvist, E. (1922). Eine neue Aegeriide (Lepid.) aus Finnland. Notulae Entomologicae, 2, 82–84.	Löfqvist, E.		Eine neue Aegeriide (Lepid.) aus Finnland	Notulae Entomologicae, 2	01/01/1922	82–84			de
Journal Article	5c6c95785b0a900473c1ffc37c5e6835	Lucas, H. (1849). Histoire Naturelle des Animaux Articules. Les Lépidoptères. – Exploration scientifique de l’Algérie pendant les années 1840, 1841, 1842. Sciences physiques, Zoologie 3, 345-413. (367-369, pl. 2).	Lucas, H.		Histoire Naturelle des Animaux Articules. Les Lépidoptères. – Exploration scientifique de l’Algérie pendant les années 1840, 1841, 1842	Sciences physiques, Zoologie, 3	01/01/1849	367-369			fr
Journal Article	66f0e27b58de03a8e8ab8ced33152993	Lucas, T. P. (1894). Descriptions of new Australian Lepidoptera, with additional localities for known species. The Proceedings of the Linnean Society of New South Wales (Second Series), 8(1893), 133–166. (133–134).	Lucas, T.P.		Descriptions of new Australian Lepidoptera, with additional localities for known species	The Proceedings of the Linnean Society of New South Wales (Second Series), 8(1893)	01/01/1894	133–134			en
Journal Article	c00d81b39e1a850fd2326f581424b7ef	Lugger, O. (1891). Two new Lepidopterous Borers. – Psyche 6(183), 108-109, pl. iii.	Lugger, O.		Two new Lepidopterous Borers	Psyche, 6(183)	01/01/1891	108–109,			en
Journal Article	0cc0bf8416906f2ad1a05165a102ba22	Mabille, P. (1890). Voyage de M. Ch. Alluaud dans le territoire d’Assinie (Afrique occidentale) en juillet et aout 1886. Lépidoptères avec des notes sur quelques autres espèces d’Afrique. Annales De La Société Entomologique De France (Deuxième Série), 10, 17–51. (34).	MabilLe P.		Voyage de M. Ch. Alluaud dans le territoire d’Assinie (Afrique occidentale) en juillet et aout 1886. Lépidoptères avec des notes sur quelques autres espèces d’Afrique	Annales De La Société Entomologique De France (Deuxième Série), 10	01/01/1890	34			fr
Journal Article	4364caa37eeb3299a3b379186a66915a	Mabille, P. (1891). Descriptions de deux Lépidoptères nouveaux. Sesia setodiformis, n. sp. – Bulletin des séances et Bulletin bibliographique de la Societe entomologique de France, 174-175. (174).	MabilLe P.		Descriptions de deux Lépidoptères nouveaux. Sesia setodiformis, n. sp	Bulletin des séances et Bulletin bibliographique de la Societe entomologique de France	01/01/1891	174			fr
Journal Article	c06b42a4f3f8918286770dbb683da07b	MacKay, M. R. (1968). The North American Aegeriidae (Lepidoptera): A Revision Based On Late-Instar Larvae. Memoirs of the Entomological Society of Canada, 58, 112 pp.	MacKay, M.R.		The North American Aegeriidae (Lepidoptera): A Revision Based On Late-Instar Larvae	Memoirs of the Entomological Society of Canada, 58	01/01/1968	112			en
Journal Article	abdbaaf0b75789782878eb5c0c69c4b6	Mann, J. (1859). Verzeichniss der im Jahre 1858 in Sicilien gesammelten Schmetterlinge. Wiener Entomologische Monatsschrift, 3, 78–106, 161–178. (90–91).	Mann, J.		Verzeichniss der im Jahre 1858 in Sicilien gesammelten Schmetterlinge	Wiener Entomologische Monatsschrift, 3	01/01/1859	90-91			de
Journal Article	996616630609c8bfe57b00895bf4591c	Mann, J. (1864). Nachtrag zur Schmetterling-Fauna von Brussa. Wiener Entomologische Monatsschrift, 8, 173–190. (175–176).	Mann, J.		Nachtrag zur Schmetterling-Fauna von Brussa	Wiener Entomologische Monatsschrift, 8	01/01/1864	175-176			de
Journal Article	3b02f9518544728e1054f2a0b0424011	Mariani, M. (1937). Nuove specie e forme di Lepidotteri di Sicilia ed un nuovo parassita degli agrumi. – Giornale di scienze naturali ed economiche 39 (15)(3), 1-13, 1 pl. (7-8).	Mariani, M.		Nuove specie e forme di Lepidotteri di Sicilia ed un nuovo parassita degli agrumi	Giornale di scienze naturali ed economiche, 39(15)	01/01/1937	7-8			it
